x					y
1.000000000000e+003	1.018683430135e+000
1.258925411794e+003	1.029606669677e+000
1.584893192461e+003	1.047028110979e+000
1.995262314969e+003	1.074820946199e+000
2.511886431510e+003	1.118882339777e+000
3.162277660168e+003	1.186478585301e+000
3.981071705535e+003	1.276008181284e+000
5.011872336273e+003	1.322045761350e+000
6.309573444802e+003	1.130190216078e+000
7.943282347243e+003	7.425661662373e-001
1.000000000000e+004	4.386551509030e-001
1.258925411794e+004	2.585858960019e-001
1.584893192461e+004	1.553007937062e-001
1.995262314969e+004	9.482692673229e-002
2.511886431510e+004	5.857926096332e-002
3.162277660168e+004	3.646575641640e-002
3.981071705535e+004	2.281226738680e-002
5.011872336273e+004	1.431582234511e-002
6.309573444802e+004	9.001805809836e-003
7.943282347243e+004	5.667488725954e-003
1.000000000000e+005	3.571065746636e-003
1.258925411794e+005	2.251249662728e-003
1.584893192461e+005	1.419670343908e-003
1.995262314969e+005	8.954441169453e-004
2.511886431510e+005	5.648647215097e-004
3.162277660168e+005	3.563568537295e-004
3.981071705535e+005	2.248265913566e-004
5.011872336273e+005	1.418482730008e-004
6.309573444802e+005	8.949713792873e-005
7.943282347243e+005	5.646765363423e-005
1.000000000000e+006	3.562819396579e-005
