x					y
1.000000000000e+003	1.677979085095e-009
1.258925411794e+003	4.213853367722e-009
1.584893192461e+003	1.058058531054e-008
1.995262314969e+003	2.656078050289e-008
2.511886431510e+003	6.665228789362e-008
3.162277660168e+003	1.671633709767e-007
3.981071705535e+003	4.188660394260e-007
5.011872336273e+003	1.048071908040e-006
6.309573444802e+003	2.616588282459e-006
7.943282347243e+003	6.509678217262e-006
1.000000000000e+004	1.610728865663e-005
1.258925411794e+004	3.952378682295e-005
1.584893192461e+004	9.576718996615e-005
1.995262314969e+004	2.277732012000e-004
2.511886431510e+004	5.275938348106e-004
3.162277660168e+004	1.178933058157e-003
3.981071705535e+004	2.515778141787e-003
5.011872336273e+004	5.080007175018e-003
6.309573444802e+004	9.643006234642e-003
7.943282347243e+004	1.715560352452e-002
1.000000000000e+005	2.861707467730e-002
1.258925411794e+005	4.489413766782e-002
1.584893192461e+005	6.655511710950e-002
1.995262314969e+005	9.378419727024e-002
2.511886431510e+005	1.263682814003e-001
3.162277660168e+005	1.636538262725e-001
3.981071705535e+005	2.043957197422e-001
5.011872336273e+005	2.465989113610e-001
6.309573444802e+005	2.876200611401e-001
7.943282347243e+005	3.247150017769e-001
1.000000000000e+006	3.558357796596e-001
1.258925411794e+006	3.801665518825e-001
1.584893192461e+006	3.980757697258e-001
1.995262314969e+006	4.106473289417e-001
2.511886431510e+006	4.191689308615e-001
3.162277660168e+006	4.248054744858e-001
3.981071705535e+006	4.284724290263e-001
5.011872336273e+006	4.308320611266e-001
6.309573444802e+006	4.323396889972e-001
7.943282347243e+006	4.332985553215e-001
1.000000000000e+007	4.339066256829e-001
