x					y
1.000000000000e+004	1.786851856230e+002
1.258925411794e+004	1.783441662803e+002
1.584893192461e+004	1.779142699011e+002
1.995262314969e+004	1.773719066736e+002
2.511886431510e+004	1.766868008408e+002
3.162277660168e+004	1.758196769926e+002
3.981071705535e+004	1.747187515764e+002
5.011872336273e+004	1.733140928139e+002
6.309573444802e+004	1.715079698972e+002
7.943282347243e+004	1.691572656968e+002
1.000000000000e+005	1.660393817315e+002
1.258925411794e+005	1.617820391856e+002
1.584893192461e+005	1.557106955802e+002
1.995262314969e+005	1.465100317476e+002
2.511886431510e+005	1.315874843725e+002
3.162277660168e+005	1.072627315592e+002
3.981071705535e+005	7.599619623440e+001
5.011872336273e+005	5.055141612991e+001
6.309573444802e+005	3.477632449728e+001
7.943282347243e+005	2.510773992825e+001
1.000000000000e+006	1.877548709513e+001
1.258925411794e+006	1.436077778334e+001
1.584893192461e+006	1.114042108887e+001
1.995262314969e+006	8.718773344988e+000
2.511886431510e+006	6.861268945294e+000
3.162277660168e+006	5.418203129954e+000
3.981071705535e+006	4.287949449354e+000
5.011872336273e+006	3.398112101202e+000
6.309573444802e+006	2.695253720506e+000
7.943282347243e+006	2.138933363451e+000
1.000000000000e+007	1.698022459444e+000
