x					y
1.000000000000e+004	1.762166463185e+002
1.258925411794e+004	1.751912086945e+002
1.584893192461e+004	1.738138234004e+002
1.995262314969e+004	1.719012039513e+002
2.511886431510e+004	1.690944368311e+002
3.162277660168e+004	1.645795696574e+002
3.981071705535e+004	1.560830735740e+002
5.011872336273e+004	1.351167892762e+002
6.309573444802e+004	7.746915283983e+001
7.943282347243e+004	3.080500439006e+001
1.000000000000e+005	9.937588635549e+000
1.258925411794e+005	-1.863299393288e+001
1.584893192461e+005	-9.670813951398e+001
1.995262314969e+005	-1.264673898446e+002
2.511886431510e+005	-1.361101646276e+002
3.162277660168e+005	-1.366619179734e+002
3.981071705535e+005	-1.342262314293e+002
5.011872336273e+005	-1.302063851852e+002
6.309573444802e+005	-1.253702182423e+002
7.943282347243e+005	-1.202843040504e+002
1.000000000000e+006	-1.153718965906e+002
