x			y
1.000000000000e+002	1.584000405818e-002
1.258925411794e+002	1.896254134127e-002
1.584893192461e+002	2.306312502442e-002
1.995262314969e+002	2.837733075894e-002
2.511886431510e+002	3.520132156639e-002
3.162277660168e+002	4.391216050109e-002
3.981071705535e+002	5.499391630442e-002
5.011872336273e+002	6.907322973761e-002
6.309573444802e+002	8.697084718385e-002
7.943282347243e+002	1.097809538312e-001
1.000000000000e+003	1.390007122391e-001
1.258925411794e+003	1.767536333733e-001
1.584893192461e+003	2.261923939151e-001
1.995262314969e+003	2.922427884398e-001
2.511886431510e+003	3.829317888673e-001
3.162277660168e+003	5.111546283182e-001
3.981071705535e+003	6.920184954539e-001
5.011872336273e+003	9.025950916344e-001
6.309573444802e+003	9.713747582428e-001
7.943282347243e+003	8.034583256646e-001
1.000000000000e+004	5.975124636193e-001
1.258925411794e+004	4.434306957197e-001
1.584893192461e+004	3.352685515703e-001
1.995262314969e+004	2.577209345580e-001
2.511886431510e+004	2.004292968641e-001
3.162277660168e+004	1.570732012276e-001
3.981071705535e+004	1.237043695040e-001
5.011872336273e+004	9.773108253855e-002
6.309573444802e+004	7.736525064822e-002
7.943282347243e+004	6.132066996071e-002
1.000000000000e+005	4.864229168041e-002
1.258925411794e+005	3.860466731789e-002
1.584893192461e+005	3.064810634615e-002
1.995262314969e+005	2.433630344910e-002
2.511886431510e+005	1.932682744673e-002
3.162277660168e+005	1.534974725268e-002
3.981071705535e+005	1.219168648942e-002
5.011872336273e+005	9.683674009832e-003
6.309573444802e+005	7.691751665530e-003
7.943282347243e+005	6.109643203295e-003
1.000000000000e+006	4.852995784604e-003
