x					y
1.000000000000e+003	4.096533290886e-005
1.258925411794e+003	6.491969893621e-005
1.584893192461e+003	1.028757771864e-004
1.995262314969e+003	1.630094316635e-004
2.511886431510e+003	2.582579537403e-004
3.162277660168e+003	4.090740096392e-004
3.981071705535e+003	6.477439176845e-004
5.011872336273e+003	1.025116200468e-003
6.309573444802e+003	1.620980260483e-003
7.943282347243e+003	2.559816805695e-003
1.000000000000e+004	4.034075394461e-003
1.258925411794e+004	6.337097237244e-003
1.584893192461e+004	9.906287706473e-003
1.995262314969e+004	1.537228635254e-002
2.511886431510e+004	2.359947971612e-002
3.162277660168e+004	3.568805382121e-002
3.981071705535e+004	5.289931908739e-002
5.011872336273e+004	7.648956592109e-002
6.309573444802e+004	1.075041702060e-001
7.943282347243e+004	1.466325816267e-001
1.000000000000e+005	1.941555424329e-001
1.258925411794e+005	2.498639482068e-001
1.584893192461e+005	3.127941728204e-001
1.995262314969e+005	3.808131851043e-001
2.511886431510e+005	4.503775031656e-001
3.162277660168e+005	5.169203112046e-001
3.981071705535e+005	5.759996860734e-001
5.011872336273e+005	6.246482319851e-001
6.309573444802e+005	6.620456361415e-001
7.943282347243e+005	6.891942317985e-001
1.000000000000e+006	7.080523801578e-001
1.258925411794e+006	7.207397097329e-001
1.584893192461e+006	7.290885492749e-001
1.995262314969e+006	7.345014422146e-001
2.511886431510e+006	7.379767637926e-001
3.162277660168e+006	7.401940250688e-001
3.981071705535e+006	7.416029207744e-001
5.011872336273e+006	7.424958534158e-001
6.309573444802e+006	7.430608500005e-001
7.943282347243e+006	7.434179759008e-001
1.000000000000e+007	7.436435613982e-001
