x			y			
1.000000000000e+003	1.512957635613e-002	
1.258925411794e+003	1.835646913581e-002	
1.584893192461e+003	2.254578335493e-002	
1.995262314969e+003	2.793075777126e-002	
2.511886431510e+003	3.480699931825e-002	
3.162277660168e+003	4.355186607239e-002	
3.981071705535e+003	5.464985105408e-002	
5.011872336273e+003	6.872766671731e-002	
6.309573444802e+003	8.660545749161e-002	
7.943282347243e+003	1.093758784155e-001	
1.000000000000e+004	1.385333748352e-001	
1.258925411794e+004	1.761972880644e-001	
1.584893192461e+004	2.255146688732e-001	
1.995262314969e+004	2.914059654045e-001	
2.511886431510e+004	3.819036424553e-001	
3.162277660168e+004	5.099721926608e-001	
3.981071705535e+004	6.910884283686e-001	
5.011872336273e+004	9.035283522414e-001	
6.309573444802e+004	9.753247892797e-001	
7.943282347243e+004	8.070651020975e-001	
1.000000000000e+005	5.995953351615e-001	
1.258925411794e+005	4.445957320223e-001	
1.584893192461e+005	3.359669149835e-001	
1.995262314969e+005	2.581726753060e-001	
2.511886431510e+005	2.007403731927e-001	
3.162277660168e+005	1.572976202786e-001	
3.981071705535e+005	1.238716648712e-001	
5.011872336273e+005	9.785859926520e-002	
6.309573444802e+005	7.746388872708e-002	
7.943282347243e+005	6.139770430915e-002	
1.000000000000e+006	4.870282629443e-002	
1.258925411794e+006	3.865242416798e-002	
1.584893192461e+006	3.068587721451e-002	
1.995262314969e+006	2.436622397346e-002	
2.511886431510e+006	1.935055313472e-002	
3.162277660168e+006	1.536857268563e-002	
3.981071705535e+006	1.220662976643e-002	
5.011872336273e+006	9.695538717741e-003	
6.309573444802e+006	7.701173552819e-003	
7.943282347243e+006	6.117125978849e-003	
1.000000000000e+007	4.858938915229e-003
